H,F_total,F_local_detrended,F_trend
10,0.944063,0.940495,0.003410
20,0.933449,0.926311,0.006820
30,0.923703,0.912996,0.010229
50,0.924219,0.906373,0.017049
70,0.923728,0.898744,0.023868
100,0.925400,0.889708,0.034098
150,0.931977,0.878438,0.051146
200,0.941491,0.870105,0.068195
300,0.967272,0.860193,0.102293
400,0.996790,0.854015,0.136390
500,1.028079,0.849612,0.170488
700,1.094637,0.844781,0.238682
1000,1.192886,0.835954,0.340975
1500,1.365854,0.830451,0.511467
2000,1.537552,0.823682,0.681946
3000,1.889476,0.818653,1.022925
5000,2.623893,0.839261,1.704867
7000,3.353729,0.855298,2.386786
10000,4.437474,0.868312,3.409676
15000,6.268605,0.915018,5.113855
20000,8.099248,0.961507,6.819044
30000,11.736304,1.030468,10.228640
50000,18.958691,1.117213,17.046163
100000,36.986355,1.321981,34.075865
