H,n_windows,mean,var,F_total
5,20000000,0.108315,0.102918,0.950171
7,14285714,0.151641,0.143890,0.948885
10,10000000,0.216630,0.204512,0.944063
15,6666666,0.324945,0.304951,0.938468
20,5000000,0.433260,0.404426,0.933449
30,3333333,0.649890,0.600305,0.923703
50,2000000,1.083150,1.001068,0.924219
70,1428571,1.516410,1.400751,0.923728
100,1000000,2.166300,2.004694,0.925400
150,666666,3.249452,3.028414,0.931977
200,500000,4.332600,4.079105,0.941491
300,333333,6.498903,6.286209,0.967272
400,250000,8.665200,8.637381,0.996790
500,200000,10.831500,11.135638,1.028079
700,142857,15.164108,16.599191,1.094637
1000,100000,21.663000,25.841491,1.192886
1500,66666,32.494540,44.382782,1.365854
2000,50000,43.326000,66.615964,1.537552
3000,33333,64.989080,122.795309,1.889476
5000,20000,108.315000,284.206975,2.623893
7000,14285,151.642422,508.567553,3.353729
10000,10000,216.630000,961.289900,4.437474
15000,6666,324.948695,2036.974866,6.268605
20000,5000,433.260000,3509.080000,8.099248
30000,3333,649.897390,7627.393011,11.736304
50000,2000,1083.150000,20535.106500,18.958691
70000,1428,1516.483894,39701.143298,26.179733
100000,1000,2166.300000,80123.540000,36.986355
